Log, Field Name, Type, UDM Field, Type, Description

, , , metadata_vendor_name, , replace with 'Corelight'
, , , metadata_event_type, , replace with 'GENRIC_EVENT'
, , , metadata_product_name, , replace with 'Zeek'
, _path, , metadata_product_event_type, , The name of the log file.
, _system_name, , observer_hostname, , The name of the sensor that observed the traffic.
, ts, time, date, ,
, uid, string, metadata_product_log_id, , A unique identifier of the connection.
, fuid, string, metadata_product_log_id, , An identifier associated with a single file.
, id.orig_h, string, principal_ip, , The originator's IP address.
, id.orig_p, integer, principal_port, , The originator's port number.
, id.resp_h, string, target_ip, , The responder's IP address.
, id.resp_p, integer, target_port, , The responder's port number.
