Log, Field Name, Type, UDM Field, Type, Description

dce_rpc, , , metadata_vendor_name, , replace with 'Corelight'
dce_rpc, , , metadata_event_type, , replace with 'NETWORK_CONNECTION'
dce_rpc, , , metadata_product_name, , replace with 'Zeek'
dce_rpc, , , network_ip_protocol, , replace with 'TCP'
dce_rpc, , , metadata_description, , replace with 'operation %{operation} on %{endpoint} at named pipe [%{named_pipe}] '
dce_rpc, , , target_resource_type, , replace with 'PIPE'
dce_rpc, , , security_result.severity, , replace with 'INFORMATIONAL'
dce_rpc, _path, , metadata_product_event_type, , The name of the log file.
dce_rpc, _system_name, , observer_hostname, , The name of the sensor that observed the traffic.
dce_rpc, ts, time, date, , Timestamp for when the event happened.
dce_rpc, uid, string, metadata_product_log_id, , Unique ID for the connection.
dce_rpc, id.orig_h, string, principal_ip, , The originator's IP address.
dce_rpc, id.orig_p, integer, principal_port, , The originator's port number.
dce_rpc, id.resp_h, string, target_ip, , The responder's IP address.
dce_rpc, id.resp_p, integer, target_port, , The responder's port number.
dce_rpc, rtt, number, , , Round trip time from the request to the response. If either the request or response wasn't seen - this will be null.
dce_rpc, named_pipe, string, , , Remote pipe name.
dce_rpc, endpoint, string, , , Endpoint name looked up from the uuid.
dce_rpc, operation, string, , , Operation seen in the call.
