Log, Field Name, Type, UDM Field, Type, Description

dns_red, , , metadata_vendor_name, , replace with 'Corelight'
dns_red, , , metadata_event_type, , replace with 'NETWORK_DNS'
dns_red, , , metadata_product_name, , replace with 'Zeek'
dns_red, _path, , metadata_product_event_type, , The name of the log file.
dns_red, _system_name, , observer_hostname, , The name of the sensor that observed the traffic.
dns_red, ts, time, date, , The earliest time at which a DNS protocol message over the associated connection is observed.
dns_red, uid, string, metadata_product_log_id, , A unique identifier of the connection over which DNS messages are being transferred.
dns_red, id.orig_h, string, principal_ip, , The originator's IP address.
dns_red, id.orig_p, string, principal_port, string, The originator's port number.
dns_red, id.resp_h, string, target_ip, , The responder's IP address.
dns_red, id.resp_p, string, target_port, string, The responder's port number.
dns_red, query, string, dns_question.name, , The domain name that is the subject of the DNS query.
dns_red, qtype_name, string, , , A descriptive name for the type of the query.
dns_red, rcode, integer, network_dns_response_code, uinteger, The response code value in DNS response messages.
dns_red, answers, array[string], dns_answer.name, vector of string, The set of resource descriptions in the query answer.
dns_red, num, integer, , , How often we've seen this query in this coalescence interval.
