Log, Field Name, Type, UDM Field, Type, Description

http_red, , , metadata_vendor_name, , replace with 'Corelight'
http_red, , , metadata_event_type, , replace with 'NETWORK_HTTP'
http_red, , , metadata_product_name, , replace with 'Zeek'
http_red, _path, , metadata_product_event_type, ,
http_red, _system_name, , observer_hostname, ,
http_red, ts, time, date, , Timestamp for when the request happened.
http_red, uid, string, , , Unique ID for the connection.
http_red, id.orig_h, string, , , The originator's IP address.
http_red, id.orig_p, integer, , , The originator's port number.
http_red, id.resp_h, string, , , The responder's IP address.
http_red, id.resp_p, integer, , , The responder's port number.
http_red, trans_depth, integer, , , Represents the pipelined depth into the connection of this request/response transaction.
http_red, method, string, network_http_method, , Verb used in the HTTP request (GET POST HEAD etc.).
http_red, host, string, target_hostname, , Value of the HOST header.
http_red, uri, string, target_url, , URI used in the request.
http_red, referrer, string, , , Value of the 'referer' header.  The comment is deliberately misspelled like the standard declares - but the name used here is 'referrer' (spelled correctly).
http_red, version, string, , , Value of the version portion of the reply. If you require message-level detail - consider the http_request and http_reply events - which report each message's version string.
http_red, user_agent, string, network_http_user_agent, , Value of the User-Agent header from the client.
http_red, origin, string, , , Value of the Origin header from the client.
http_red, request_body_len, integer, network_sent_bytes, uinteger, Actual uncompressed content size of the data transferred from the client.
http_red, response_body_len, integer, network_received_bytes, uinteger, Actual uncompressed content size of the data transferred from the server.
http_red, status_code, integer, network_http_response_code, integer, Status code returned by the server.
http_red, status_msg, string, , , Status message returned by the server.
http_red, info_code, integer, , , Last seen 1xx informational reply code returned by the server.
http_red, info_msg, string, , , Last seen 1xx informational reply message returned by the server.
http_red, tags, array[string], , , A set of indicators of various attributes discovered and related to a particular request/response pair.
http_red, username, string, , , Username if basic-auth is performed for the request.
http_red, password, string, , , Password if basic-auth is performed for the request.
http_red, proxied, array[string], , , All of the headers that may indicate if the request was proxied.
http_red, orig_fuids, array[string], , , An ordered vector of file unique IDs. Limited to HTTP::max_files_orig entries.
http_red, orig_filenames, array[string], , , An ordered vector of filenames from the client. Limited to HTTP::max_files_orig entries.
http_red, orig_mime_types, array[string], , , An ordered vector of mime types. Limited to HTTP::max_files_orig entries.
http_red, resp_fuids, array[string], , , An ordered vector of file unique IDs. Limited to HTTP::max_files_resp entries.
http_red, resp_filenames, array[string], , , An ordered vector of filenames from the server. Limited to HTTP::max_files_resp entries.
http_red, resp_mime_types, array[string], , , An ordered vector of mime types. Limited to HTTP::max_files_resp entries.
http_red, , , about.file.mime_type, , replace with '%{resp_mime_types.0}'
http_red, post_body, string, , , The post_body information.
