Log, Field Name, Type, UDM Field, Type, Description

rdp, , , metadata_vendor_name, , replace with 'Corelight'
rdp, , , metadata_event_type, , replace with 'NETWORK_CONNECTION'
rdp, , , metadata_product_name, , replace with 'Zeek'
rdp, , , network_ip_protocol, , replace with 'TCP'
rdp, _path, , metadata_product_event_type, ,
rdp, _system_name, , observer_hostname, ,
rdp, ts, time, date, ,
rdp, uid, string, metadata_product_log_id, , A unique identifier of the connection.
rdp, id.orig_h, string, principal_ip, , The originator's IP address.
rdp, id.orig_p, integer, principal_port, , The originator's port number.
rdp, id.resp_h, string, target_ip, , The responder's IP address.
rdp, id.resp_p, integer, target_port, , The responder's port number.
rdp, cookie, string, , , Cookie value used by the client machine. This is typically a username.
rdp, result, string, , , Status result for the connection.  It's a mix between RDP negotation failure messages and GCC server create response messages.
rdp, security_protocol, string, , , Security protocol chosen by the server.
rdp, client_channels, array[string], , , The channels requested by the client
rdp, keyboard_layout, string, , , Keyboard layout (language) of the client machine.
rdp, client_build, string, , , RDP client version used by the client machine.
rdp, client_name, string, , , Name of the client machine.
rdp, client_dig_product_id, string, , , Product ID of the client machine.
rdp, desktop_width, integer, , , Desktop width of the client machine.
rdp, desktop_height, integer, , , Desktop height of the client machine.
rdp, requested_color_depth, string, , , The color depth requested by the client in the high_color_depth field.
rdp, cert_type, string, , , If the connection is being encrypted with native RDP encryption - this is the type of cert being used.
rdp, cert_count, integer, , , The number of certs seen.  X.509 can transfer an entire certificate chain.
rdp, cert_permanent, boolean, , , Indicates if the provided certificate or certificate chain is permanent or temporary.
rdp, encryption_level, string, , , Encryption level of the connection.
rdp, encryption_method, string, , , Encryption method of the connection.
rdp, auth_success, boolean, , , Whether the client successfully authenticated or not
rdp, channels_joined, integer, , , The number of channels a client joined during the connection sequence
rdp, inferences, array[string], , , A set of inference \""tags\"" about the connection
rdp, rdpeudp_uid, string, , , The connection UID of the UDP connection which assisted this TCP connection. If UDP was not used, this is unset.
rdp, rdfp_string, string, , , A fingerprint which represents am RDP client
rdp, rdfp_hash, string, , , The rdfp_hash information.
