Log, Field Name, Type, UDM Field, Type, Description

suricata_corelight, , , metadata_vendor_name, , replace with 'Corelight'
suricata_corelight, , , metadata_event_type, , replace with 'SCAN_NETWORK'
suricata_corelight, , , metadata_product_name, , replace with 'Suricata'
suricata_corelight, ts, time, date, , The Suricata alert timestamp.
suricata_corelight, uid, string, metadata_product_log_id, , The conn log identifier [from conn.log].
suricata_corelight, id.orig_h, string, principal_ip, , The originator's IP address.
suricata_corelight, id.orig_p, string, principal_port, string, The originator's port number.
suricata_corelight, id.resp_h, string, target_ip, , The responder's IP address.
suricata_corelight, id.resp_p, string, target_port, string, The responder's port number.
suricata_corelight, id.vlan, integer, , , The id.vlan information.
suricata_corelight, id.vlan_inner, integer, , , The id.vlan_inner information.
suricata_corelight, icmp_type, integer, , , The icmp type if this was ICMP.
suricata_corelight, icmp_code, integer, , , The icmp code if this was ICMP.
suricata_corelight, suri_id, string, , , The Suricata log id.
suricata_corelight, service, string, , , The service name (e.g. - http)
suricata_corelight, flow_id, integer, , , The flow id
suricata_corelight, tx_id, integer, , , The transaction id
suricata_corelight, pcap_cnt, integer, , , The pcap record count
suricata_corelight, alert.action, string, , , The alert.action information.
suricata_corelight, alert.gid, integer, , , The alert.gid information.
suricata_corelight, alert.signature_id, integer, security_result.rule_id, string, The alert.signature_id information.
suricata_corelight, alert.rev, integer, , , The alert.rev information.
suricata_corelight, alert.signature, string, metadata_product_event_type, , The alert.signature information.
suricata_corelight, alert.signature, string, security_result.summary, , The alert.signature information.
suricata_corelight, alert.signature, string, security_result.threat_name, , The alert.signature information.
suricata_corelight, alert.category, string, sr_category, , The alert.category information.
suricata_corelight, alert.severity, integer, security_result.severity_details, string, The alert.severity information.
suricata_corelight, alert.metadata, array[string], , , The alert.metadata information.
suricata_corelight, community_id, string, , , The community id
suricata_corelight, payload, string, , , The payload
suricata_corelight, packet, string, , , The packet
suricata_corelight, metadata, array[string], , , Alert metadata (if any)
