Log, Field Name, Type, UDM Field, Type, Description

x509_red, , , metadata_vendor_name, , replace with 'Corelight'
x509_red, , , metadata_event_type, , replace with 'GENERIC_EVENT'
x509_red, , , metadata_product_name, , replace with 'Zeek'
x509_red, , , metadata_product_log_id, , replace with '%{fingerprint}'
x509_red, , , event1.idm.read_only_udm.target.application, , replace with 'x509'
x509_red, ts, time, date, , Current timestamp.
x509_red, fingerprint, string, , , Fingerprint of the certificate - uses chosen algorithm.
x509_red, certificate.version, integer, event1.idm.read_only_udm.network.tls.server.certificate.version, string, Version number.
x509_red, certificate.serial, string, event1.idm.read_only_udm.network.tls.server.certificate.serial, , Serial number.
x509_red, certificate.subject, string, event1.idm.read_only_udm.network.tls.server.certificate.subject, , Subject.
x509_red, certificate.issuer, string, event1.idm.read_only_udm.network.tls.server.certificate.issuer, , Issuer.
x509_red, certificate.not_valid_before, time, event1.idm.read_only_udm.network.tls.server.certificate.not_before, yyyy-MM-dd HH:mm:ss.SSS, Timestamp before when certificate is not valid.
x509_red, certificate.not_valid_after, time, event1.idm.read_only_udm.network.tls.server.certificate.not_after, yyyy-MM-dd HH:mm:ss.SSS, Timestamp after when certificate is not valid.
x509_red, certificate.key_alg, string, , , Name of the key algorithm
x509_red, certificate.sig_alg, string, , , Name of the signature algorithm
x509_red, certificate.key_type, string, , , Key type - if key parseable by openssl (either rsa or dsa or ec)
x509_red, certificate.key_length, integer, , , Key length in bits
x509_red, certificate.exponent, string, , , Exponent (if RSA-certificate)
x509_red, certificate.curve, string, , , Curve (if EC-certificate)
x509_red, san.dns, array[string], , , List of DNS entries in SAN
x509_red, san.uri, array[string], , , List of URI entries in SAN
x509_red, san.email, array[string], , , List of email entries in SAN
x509_red, san.ip, array[string], , , List of IP entries in SAN
x509_red, basic_constraints.ca, boolean, , , CA flag set?
x509_red, basic_constraints.path_len, integer, , , Maximum path length
x509_red, host_cert, boolean, , , Indicates if this certificate was a end-host certificate - or sent as part of a chain
x509_red, client_cert, boolean, , , Indicates if this certificate was sent from the client
